area_numbe,comm_name,shape_area,shape_len,Crime_freq,population,crime_rate,gentrified,hardindex,hous_crowd,poverty,No_Work,No_HS,Age18_64,income_per,hispanic,black,white,asian,other,NBR_Q1,PC1,PC2,FBI 1,FBI 2,FBI 3,FBI 4,FBI 5,FBI 6,FBI 7,FBI 8,FBI 9,FBI 10,FBI 11,FBI 12,FBI 13,FBI 14,FBI 15,FBI 16,FBI 17,FBI 18,FBI 19,FBI 20,FBI 22,FBI 24,FBI 26
area_numbe,comm_name,FBI1rate,FBI2rate,FBI3rate,FBI4rate,FBI5rate,FBI6rate,FBI7rate,FBI8rate,FBI9rate,FBI10rate,FBI11rate,FBI12rate,FBI13rate,FBI14rate,FBI15rate,FBI16rate,FBI17rate,FBI18rate,FBI19rate,FBI20rate,FBI22rate,FBI24rate,FBI26rate,,,,,,,,,,,,,,,,,,,,,
,Average,0.000557639,0.00097511,0.007475907,0.010299297,0.006730922,0.025271417,0.006352339,0.035234883,0.000358147,0.000780235,0.006250883,1.71385E-05,2.53648E-05,0.017239098,0.004545092,0.00090345,0.000679043,0.010636383,0.000170714,0.001363934,7.46523E-05,0.00189645,0.015171262,,,,,,,,,,,,,,,,,,,,,
37,Fuller Park,0.000621118,0.000621118,0.018322981,0.019565217,0.006832298,0.065217391,0.013043478,0.055900621,0.000621118,0.002484472,0.013043478,0,0,0.027329193,0.007763975,0,0.000931677,0.010559006,0,0.00310559,0,0.00310559,0.024223602,,,,,,,,,,,,,,,,,,,,,
25,Austin,0.00084013,0.001106512,0.008513995,0.010757756,0.005348141,0.021966313,0.007468956,0.03582845,0.000235646,0.000799148,0.007694357,0.0000307,0.000041,0.017099709,0.004610467,0.001762223,0.000706938,0.014968649,0.000235646,0.001086021,0.000102455,0.002059342,0.014599811,,,,,,,,,,,,,,,,,,,,,
26,West Garfield Park,0.000694927,0.001489129,0.01538767,0.019755783,0.006651444,0.028938747,0.010622456,0.055594163,0.000496376,0.00084384,0.008537675,0,0.0000496,0.024620272,0.007296734,0.007048546,0.000893478,0.049190906,0.000893478,0.001290579,0.000198551,0.004020649,0.022088752,,,,,,,,,,,,,,,,,,,,,
29,North Lawndale,0.001177147,0.001779408,0.0107312,0.018259465,0.007281886,0.026444743,0.009882559,0.05475102,0.000465384,0.000821265,0.006652249,0,0.0000274,0.022995428,0.009964686,0.00054751,0.00079389,0.045142216,0.000629637,0.001642531,0.0000821,0.003586192,0.024939089,,,,,,,,,,,,,,,,,,,,,
30,South Lawndale,0.000109375,0.00071875,0.00328125,0.00490625,0.003015625,0.0133125,0.003859375,0.015984375,0.0001875,0.00034375,0.001953125,0,0,0.00890625,0.00228125,0.0000469,0.00075,0.002765625,0.0000156,0.000734375,0.000171875,0.00090625,0.006765625,,,,,,,,,,,,,,,,,,,,,
45,Avalon Park,0.000568747,0.001564055,0.009242144,0.010379639,0.010948386,0.034409214,0.008246836,0.046352908,0.000710934,0.000995308,0.010379639,0,0,0.021328025,0.003554671,0,0.001421868,0.002132803,0,0.001279682,0,0.001706242,0.017773354,,,,,,,,,,,,,,,,,,,,,
59,McKinley Park,0.000290318,0.000508056,0.003193497,0.002685441,0.005370881,0.017056177,0.003628974,0.013499782,0.000217738,0.000362897,0.004064451,0.0000726,0,0.01110466,0.001233851,0.000217738,0.000145159,0.004790245,0,0.000362897,0.0000726,0.000653215,0.006822471,,,,,,,,,,,,,,,,,,,,,
49,Roseland,0.000867512,0.001132585,0.007976288,0.010193262,0.009783604,0.024434913,0.006120777,0.03959227,0.000530146,0.000795219,0.007494337,0,0.0000482,0.022121548,0.004554436,0.001253072,0.000457853,0.007156971,0.00019278,0.001590438,0.0000241,0.002192877,0.01915755,,,,,,,,,,,,,,,,,,,,,
50,Pullman,0.000119632,0.000717789,0.003469315,0.004426367,0.005861945,0.03349683,0.005861945,0.027874148,0,0.000717789,0.005383419,0.000119632,0.000119632,0.013159469,0.004306735,0.000119632,0.000358895,0.003947841,0,0.002033736,0,0.002512262,0.016748415,,,,,,,,,,,,,,,,,,,,,
51,South Deering,0.000605798,0.000778884,0.004327131,0.009606231,0.005538728,0.034270878,0.006490697,0.035136305,0.000259628,0.001384682,0.00726958,0,0,0.017135439,0.004586759,0,0.00034617,0.004673302,0,0.002336651,0.0000865,0.001038511,0.016010385,,,,,,,,,,,,,,,,,,,,,
57,Archer Heights,0.00018081,0.00018081,0.0018081,0.00192864,0.005544841,0.010908872,0.00307377,0.009221311,0,0.00066297,0.003555931,0,0.0000603,0.006870781,0.00030135,0.0000603,0.00030135,0.00114513,0,0.00048216,0.0000603,0.00030135,0.004520251,,,,,,,,,,,,,,,,,,,,,
58,Brighton Park,0.000550068,0.00023916,0.003109081,0.003276493,0.003132997,0.007461794,0.002176357,0.012603736,0.000286992,0.000334824,0.002104609,0.0000478,0.0000239,0.007390046,0.000932724,0.000334824,0.000430488,0.002343769,0,0.000406572,0.000143496,0.000526152,0.005237606,,,,,,,,,,,,,,,,,,,,,
61,New City,0.000428092,0.000832402,0.005018194,0.009085071,0.004566319,0.019763598,0.004804148,0.025709325,0.000523224,0.000451875,0.0037577,0,0.0000238,0.012057935,0.00335339,0.0000476,0.000689704,0.005565201,0,0.000998882,0.000118915,0.001545889,0.011249316,,,,,,,,,,,,,,,,,,,,,
