area_numbe,comm_name,shape_area,shape_len,Crime_freq,population,crime_rate,gentrified,hardindex,hous_crowd,poverty,No_Work,No_HS,Age18_64,income_per,hispanic,black,white,asian,other,NBR_Q1,PC1,PC2,FBI 1,FBI 2,FBI 3,FBI 4,FBI 5,FBI 6,FBI 7,FBI 8,FBI 9,FBI 10,FBI 11,FBI 12,FBI 13,FBI 14,FBI 15,FBI 16,FBI 17,FBI 18,FBI 19,FBI 20,FBI 22,FBI 24,FBI 26,FBI1rate,FBI2rate,FBI3rate,FBI4rate,FBI5rate,FBI6rate,FBI7rate,FBI8rate,FBI9rate,FBI10rate,FBI11rate,FBI12rate,FBI13rate,FBI14rate,FBI15rate,FBI16rate,FBI17rate,FBI18rate,FBI19rate,FBI20rate,FBI22rate,FBI24rate,FBI26rate
8,Near North Side,76675895.97,57293.16495,12326,96466,12.77755893,4.866481781,1,1.9,12.9,7,2.5,22.6,88669,0.09,0.11,0.67,0.1,0.02,4,-4.866481781,0.142401382,5,105,414,230,241,5896,337,1633,6,132,1664,4,2,636,28,0,47,139,3,22,17,43,722,0.0000518,0.001088466,0.004291668,0.00238426,0.00249829,0.06111998,0.003493459,0.016928244,0.0000622,0.001368358,0.017249601,0.0000415,0.0000207,0.006592996,0.000290258,0,0.000487218,0.001440922,0.0000311,0.00022806,0.000176228,0.000445753,0.007484502
32,Loop,46335565.46,39428.673,10630,32936,32.2747146,4.410339832,3,1.5,14.7,5.7,3.1,13.5,65526,0.23,0.13,0.5,0.12,0.02,3,-4.410339832,-0.117701471,0,43,387,178,107,5882,148,1207,3,163,1378,6,1,409,12,23,34,78,0,6,9,34,522,0,0.001305562,0.011750061,0.005404421,0.003248725,0.178588778,0.004493563,0.03664683,0.0000911,0.004948992,0.041838718,0.000182171,0.0000304,0.012418023,0.000364343,0.000698324,0.001032305,0.002368229,0,0.000182171,0.000273257,0.001032305,0.015848919
6,Lake View,87214799.27,51973.09687,5753,102584,5.608087031,4.683655262,5,1.1,11.4,4.7,2.6,17,60058,0.09,0.03,0.77,0.08,0.03,4,-4.683655262,-0.210986942,0,52,237,105,319,2263,203,870,2,51,720,1,1,401,12,2,27,39,0,12,10,22,404,0,0.000506902,0.002310302,0.001023551,0.003109647,0.02205997,0.001978866,0.008480855,0.0000195,0.000497154,0.007018638,0.00000975,0.00000975,0.003908992,0.000116977,0.0000195,0.000263199,0.000380176,0,0.000116977,0.0000975,0.000214458,0.003938236
5,North Center,57054167.85,31391.66975,1426,35406,4.027565949,4.226240635,6,0.3,7.5,5.2,4.5,26.2,57123,0.11,0.09,0.73,0.04,0.03,7,-4.226240635,0.122763574,0,10,52,29,126,538,57,146,1,19,167,0,0,125,4,0,7,19,0,11,1,5,109,0,0.000282438,0.001468678,0.00081907,0.003558719,0.015195165,0.001609897,0.004123595,0.0000282,0.000536632,0.004716715,0,0,0.003530475,0.000112975,0,0.000197707,0.000536632,0,0.000310682,0.0000282,0.000141219,0.003078574
7,Lincoln Park,88316400.47,49478.42777,4477,65711,6.813166745,4.786718369,2,0.8,12.3,5.1,3.6,21.5,71551,0.09,0.04,0.78,0.06,0.03,5,-4.786718369,0.020899624,1,29,148,64,210,2239,174,451,1,38,458,1,1,390,8,0,20,30,0,7,5,11,191,0.0000152,0.000441326,0.002252287,0.000973962,0.003195812,0.034073443,0.002647958,0.006863387,0.0000152,0.00057829,0.006969914,0.0000152,0.0000152,0.005935079,0.000121745,0,0.000304363,0.000456545,0,0.000106527,0.0000761,0.0001674,0.002906667
77,Edgewater,48449990.84,31004.83095,2637,56536,4.664284704,2.335822344,19,4.1,18.2,9.2,9.7,23.8,33385,0.16,0.14,0.55,0.12,0.03,4,-2.335822344,-0.345250487,2,18,92,72,108,885,88,506,2,22,281,0,1,236,11,0,11,33,0,14,3,11,241,0.0000354,0.000318381,0.001627282,0.001273525,0.001910287,0.015653743,0.00155653,0.00895005,0.0000354,0.000389133,0.004970284,0,0.0000177,0.004174331,0.000194566,0,0.000194566,0.000583699,0,0.00024763,0.0000531,0.000194566,0.004262771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
area_numbe,comm_name,FBI1rate,FBI2rate,FBI3rate,FBI4rate,FBI5rate,FBI6rate,FBI7rate,FBI8rate,FBI9rate,FBI10rate,FBI11rate,FBI12rate,FBI13rate,FBI14rate,FBI15rate,FBI16rate,FBI17rate,FBI18rate,FBI19rate,FBI20rate,FBI22rate,FBI24rate,FBI26rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
